"","region","watershed","family","genus","epithet","code","Trans","Number"
"98","Caribe","Guajira","ARALIACEAE","Dendropanax","arboreus","Dendarbo","High",3
"99","Caribe","Bolivar","RUBIACEAE","Dioicodendron","dioicum","Dioidioi","High",9
"100","ValleMagdalena","TolimaS","FABACEAE","Enterolobium","schomburgkii","Entescho","High",1
"101","Caribe","Guajira","FABACEAE","Enterolobium","sp2","Entesp2","High",5
"102","ValleMagdalena","TolimaS","FABACEAE","Erythrina","fusca","Erytfusc","High",2
"103","ValleMagdalena","Huila","ERYTHROXYLACEAE","Erythroxylum","macrophyllum","Erytmacr","High",2
"104","ValleMagdalena","Huila","RUTACEAE","Esenbeckia","alata","Esenalat","High",9
"105","ValleMagdalena","Huila","MYRTACEAE","Eugenia","florida","Eugeflor","High",7
"106","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","florida","Eugeflor","High",5
"107","Caribe","Bolivar","MYRTACEAE","Eugenia","procera","Eugeproc","High",2
"108","ValleMagdalena","Huila","MYRTACEAE","Eugenia","procera","Eugeproc","High",7
"109","ValleMagdalena","TolimaS","MYRTACEAE","Eugenia","procera","Eugeproc","High",277
"110","ValleCauca","Valle del Cauca","MYRTACEAE","Eugenia","procera","Eugeproc","High",492
"111","Caribe","Bolivar","MYRTACEAE","Eugenia","sp2","Eugesp2","High",1
"112","ValleCauca","Valle del Cauca","EUPHORBIACEAE","Euphorbia","cotinifolia","Euphcoti","High",9
"113","Caribe","Bolivar","FABACEAE","Fabaceae","sp1","Fabasp1","High",2
"114","ValleCauca","Valle del Cauca","FABACEAE","Fabaceae","sp3","Fabasp3","High",2
"115","ValleMagdalena","Huila","MORACEAE","Ficus","insipida","Ficuinsi","High",2
"116","ValleCauca","Valle del Cauca","MORACEAE","Ficus","insipida","Ficuinsi","High",1
"117","ValleCauca","Valle del Cauca","MORACEAE","Ficus","obtusifolia","Ficuobtu","High",2
"118","ValleCauca","Valle del Cauca","MORACEAE","Ficus","sp2","Ficusp2","High",5
"119","ValleMagdalena","Huila","MORACEAE","Ficus","sp5","Ficusp5","High",1
"120","ValleMagdalena","Huila","MORACEAE","Ficus","sp7","Ficusp7","High",2
"121","ValleMagdalena","Huila","MORACEAE","Ficus","sp8","Ficusp8","High",2
"122","ValleMagdalena","Huila","BIGNONIACEAE","Fridericia","pubescens","Fridpube","High",1
"123","Caribe","Bolivar","RUTACEAE","Galipea","sp","Galisp","High",2
"124","Caribe","Guajira","RUBIACEAE","Genipa","americana","Geniamer","High",4
"125","ValleMagdalena","Huila","RUBIACEAE","Genipa","americana","Geniamer","High",4
"126","ValleCauca","Valle del Cauca","RUBIACEAE","Genipa","americana","Geniamer","High",3
"127","Caribe","Bolivar","FABACEAE","Gliricidia","sepium","Glirsepi","High",17
"128","Caribe","Guajira","RHAMNACEAE","Gouania","polygama","Gouapoly","High",7
